stage,method,target_bitrate_kbps,actual_bitrate_kbps,sigma,video,seed,psnr,ssim,vmaf,msssim,epsnr,psnrb,gbim,mepr
pre_x264,noisy,,,10,mobile,,29.912893,0.91101,nan,nan,27.166743978592656,22.709752985635337,25.455587360663667,0.6923750555648426
pre_x264,hqdn3d,,,10,mobile,,29.963841,0.910727,nan,nan,27.158762328845746,22.815531618137893,25.083701940151794,0.7024444828922658
pre_x264,dwt,,,10,mobile,,31.385336,0.941057,nan,nan,26.71017216559689,26.063803102712775,22.4924339061294,0.8832022540482682
pre_x264,gaussian,,,10,mobile,,22.143683,0.7605,nan,nan,15.017395398692287,19.234736789502985,6.691530579535665,0.42662353670707803
pre_x264,prop,,,10,mobile,,32.080876,0.941377,nan,nan,28.366792006441695,28.205891302612766,22.474912886827855,0.8449891161569909
post_x264,base,100,100.73,10,mobile,,21.482165,0.65886,nan,nan,14.680972616481535,18.262151601783287,10.147915731582156,0.5274309973927159
post_x264,base,200,206.597,10,mobile,,25.296053,0.825816,nan,nan,19.09238156016316,22.501789209367118,16.32524883734913,0.8015120156504533
post_x264,base,300,307.864,10,mobile,,26.852993,0.868412,nan,nan,21.258476649267735,24.529081001926833,18.246055858977375,0.9026165547693997
post_x264,base,400,406.896,10,mobile,,27.703243,0.884873,nan,nan,22.445858988596836,25.60439644283755,19.08954503681611,0.9588395590986448
post_x264,base,500,506.286,10,mobile,,28.213924,0.892284,nan,nan,23.1805305260555,26.186801316480704,19.720662679536225,0.9890723278276751
post_x264,nr,100,101.106,10,mobile,,21.51596,0.660684,nan,nan,14.684695732521673,18.26016135368757,10.1979209016382,0.5280976272952547
post_x264,nr,200,206.519,10,mobile,,25.273882,0.825347,nan,nan,19.04857624279199,22.4809752931801,16.275342691868858,0.8006267142143854
post_x264,nr,300,307.669,10,mobile,,26.847777,0.86815,nan,nan,21.280645132486303,24.550397271128496,18.246265073212744,0.9038716108077803
post_x264,nr,400,406.797,10,mobile,,27.70409,0.884857,nan,nan,22.48024959382154,25.63182344222656,19.105305826817457,0.9588681214735256
post_x264,nr,500,506.062,10,mobile,,28.215426,0.892226,nan,nan,23.199653676851334,26.187884773385655,19.757358793499783,0.9889826191333814
post_x264,hqdn3d,100,100.717,10,mobile,,21.482526,0.657434,nan,nan,14.668611422915212,18.26692697124515,10.236762704215463,0.5299599942732728
post_x264,hqdn3d,200,206.543,10,mobile,,25.279685,0.825544,nan,nan,19.083879301020954,22.494304277672747,16.20506316452174,0.7971222776456413
post_x264,hqdn3d,300,307.807,10,mobile,,26.854605,0.86789,nan,nan,21.272059216646845,24.527192430679897,18.18435711104679,0.9008770158540735
post_x264,hqdn3d,400,406.926,10,mobile,,27.697043,0.884183,nan,nan,22.471962034420653,25.618895979456337,19.039062603121465,0.955616237670166
post_x264,hqdn3d,500,505.918,10,mobile,,28.216896,0.892161,nan,nan,23.18689091671774,26.201687508395647,19.7149043277459,0.9893263085833591
post_x264,dwt,100,100.871,10,mobile,,21.493086,0.657641,nan,nan,14.632924877297082,18.279475376082527,9.842459773887823,0.5072825269942601
post_x264,dwt,200,206.235,10,mobile,,25.242607,0.82258,nan,nan,18.852070164433133,22.378603589212055,14.808442739968905,0.719357801011584
post_x264,dwt,300,307.209,10,mobile,,26.828334,0.866343,nan,nan,21.00689490725627,24.425173275990627,16.494095493626745,0.7988709145883542
post_x264,dwt,400,405.931,10,mobile,,27.728998,0.886371,nan,nan,22.21615913992658,25.58833011675481,17.311863072865982,0.8422630391884506
post_x264,dwt,500,505.254,10,mobile,,28.331748,0.897868,nan,nan,23.00075303452554,26.282689905288766,17.80006868763773,0.8689815095394973
post_x264,gaussian,100,102.191,10,mobile,,20.357201,0.588281,nan,nan,13.527804285402157,17.443316485336997,5.379523799036881,0.2959483468743876
post_x264,gaussian,200,206.368,10,mobile,,21.482599,0.681351,nan,nan,14.463047233952434,18.569961123104864,6.1939270036326715,0.33041746776459574
post_x264,gaussian,300,308.513,10,mobile,,21.775039,0.708675,nan,nan,14.763554428510938,18.91494831904489,6.4241206412827045,0.3477024310711387
post_x264,gaussian,400,410.156,10,mobile,,21.904102,0.721804,nan,nan,14.89146462635457,19.060162716895796,6.47869005321767,0.35900422925917724
post_x264,gaussian,500,510.917,10,mobile,,21.975613,0.72979,nan,nan,14.94866438082476,19.131714546947183,6.534930718102957,0.36870143754527335
post_x264,prop,100,101.607,10,mobile,,21.648417,0.666736,nan,nan,14.745044327676705,18.35493854867354,10.295139252435765,0.5233163895097519
post_x264,prop,200,207.052,10,mobile,,25.38168,0.83062,nan,nan,19.026581488767746,22.521126671659488,15.905021735908367,0.7748791282240235
post_x264,prop,300,307.71,10,mobile,,27.005403,0.873129,nan,nan,21.217305057646897,24.5820313679494,17.690200962770003,0.8643393743613318
post_x264,prop,400,406.908,10,mobile,,27.912442,0.892123,nan,nan,22.423671304542875,25.745402013048356,18.421206701217603,0.9100350979200673
post_x264,prop,500,505.655,10,mobile,,28.498425,0.901984,nan,nan,23.19109219299559,26.41331390272355,18.96881246364531,0.9437175564953012
